title,cover,date,time,location
Carnevale di Venezia 2024,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/premium_photo-1731358673371-2a521793f27d.avif,2024-02-03,14:30,"Piazza San Marco, Venezia"
Vinitaly 2024 - Festival del Vino Italiano,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/events/vinitaly.jpg,2024-04-14,09:30,"Veronafiere, Verona"
Salone Internazionale del Libro 2024,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/events/salone-libro.jpg,2024-05-09,10:00,"Lingotto Fiere, Torino"
Festival del Teatro Greco di Siracusa,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/premium_photo-1731358673371-2a521793f27d.avif,2024-06-08,19:45,"Teatro Greco di Siracusa, Siracusa"
Festival del Gusto - Sapori d'Italia,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/premium_photo-1731358673371-2a521793f27d.avif,2024-07-05,11:00,"Fortezza da Basso, Firenze"
Umbria Jazz Festival 2024,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/premium_photo-1731358673371-2a521793f27d.avif,2024-07-12,21:00,"Arena Santa Giuliana, Perugia"
Festival Internazionale della Danza,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/premium_photo-1731358673371-2a521793f27d.avif,2024-08-22,20:30,"Teatro La Fenice, Venezia"
Mostra d'Arte Contemporanea - Visioni Future,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/events/mostra-arte.jpg,2024-09-15,10:00,"Palazzo delle Esposizioni, Milano"
Festival del Cinema di Roma 2024,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/italy-naples-to-positano-best-ways-to-get-there-by-private-transfer.jpg,2024-10-16,19:30,"Auditorium Parco della Musica, Roma"
La Traviata al Teatro San Carlo,https://raw.githubusercontent.com/bbtgnn/pages-cms-template/refs/heads/main/static/media/italy-naples-to-positano-best-ways-to-get-there-by-private-transfer.jpg,2024-11-20,20:00,"Teatro San Carlo, Napoli"
